,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,67.45,0.0214240519043434,74.55555555555557,0.022834887754605494,69.28,0.007077174577470871,0.0,0.0,False,0.8646659851074219,699.7383844852448
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,67.45,0.0214240519043434,74.55555555555557,0.022834887754605494,69.28,0.007077174577470871,0.0,0.0,False,0.8646659851074219,699.7383844852448
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,24.43333333333333,0.0117966096824469,30.233333333333327,0.010317407081669741,27.47083333333333,0.005244381914646059,0.0,0.0,False,1.1170856952667236,1886.118148803711
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,67.45,0.0214240519043434,74.55555555555557,0.022834887754605494,69.28,0.007077174577470871,0.0,0.0,False,0.8646659851074219,699.7383844852448
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,24.43333333333333,0.0117966096824469,30.233333333333327,0.010317407081669741,27.47083333333333,0.005244381914646059,0.0,0.0,False,1.1170856952667236,1886.118148803711
2,imdb,sdrf_bfc,GCN,5,4,2,0.1,0.001,48.57000000000001,0.009377654290919451,50.9,0.009597916440561464,50.091249999999995,0.0016567494529952313,0.0,0.0,False,2.6915981769561768,2316.7849802970886
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,67.45,0.0214240519043434,74.55555555555557,0.022834887754605494,69.28,0.007077174577470871,0.0,0.0,False,0.8646659851074219,699.7383844852448
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,24.43333333333333,0.0117966096824469,30.233333333333327,0.010317407081669741,27.47083333333333,0.005244381914646059,0.0,0.0,False,1.1170856952667236,1886.118148803711
2,imdb,sdrf_bfc,GCN,5,4,2,0.1,0.001,48.57000000000001,0.009377654290919451,50.9,0.009597916440561464,50.091249999999995,0.0016567494529952313,0.0,0.0,False,2.6915981769561768,2316.7849802970886
3,proteins,sdrf_bfc,GCN,5,4,2,0.1,0.001,71.39285714285712,0.008931856538508096,72.80180180180182,0.007710764444641865,71.04157303370786,0.002282609642371432,0.0,0.0,False,2.327146530151367,3043.9158062934875
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,68.45,0.017532541173486516,74.55555555555556,0.024402995161240067,69.88666666666668,0.006798836501768356,0.0,0.0,False,0.9075760841369629,750.5331490039825
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,68.45,0.017532541173486516,74.55555555555556,0.024402995161240067,69.88666666666668,0.006798836501768356,0.0,0.0,False,0.9075760841369629,750.5331490039825
