,dataset,rewiring,num_iterations,brf_batch_add,brf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cornell,brf,1,4,2,0.4027027027027027,0.03701814847192201,19.93775510787964,0.0004429817199707031
0,cornell,brf,3,20,10,0.4243243243243243,0.039758217402017924,18.1749165058136,0.6306309700012207
0,cornell,brf,3,40,10,0.44054054054054054,0.05130865935171583,19.10987615585327,0.6365182399749756
0,cornell,brf,3,50,20,0.4513513513513513,0.0374887370473507,18.865108728408813,0.6494035720825195
0,cornell,brf,3,60,20,0.4621621621621622,0.04486812101502083,22.359601497650146,0.6184272766113281
0,cornell,brf,5,60,20,0.4459459459459459,0.05198752449100362,17.431050300598145,1.0796177387237549
0,cornell,brf,3,100,20,0.43243243243243246,0.03972145528837586,21.63313889503479,0.6694505214691162
0,cornell,brf,3,80,20,0.47027027027027035,0.05469885682453411,19.925963163375854,0.6585021018981934
0,cornell,brf,3,90,20,0.44594594594594594,0.046655882436843425,19.299607038497925,0.6584579944610596
0,cornell,brf,3,90,20,0.427027027027027,0.04378044698663045,33.10164785385132,0.00044083595275878906
0,cornell,brf,3,80,20,0.47027027027027024,0.042009425357244196,33.735517740249634,0.0004470348358154297
0,cornell,brf,3,80,50,0.4675675675675676,0.03670107069571449,30.36602783203125,0.6461343765258789
0,cornell,brf,3,80,50,0.39459459459459467,0.03435729423150422,30.949036359786987,0.0004398822784423828
0,cornell,brf,3,75,25,0.5081081081081081,0.06057913827512172,29.72633147239685,0.6414680480957031
0,cornell,brf,3,30,10,0.5378378378378378,0.039314803342633896,101.69906973838806,0.0004451274871826172
0,cornell,brf,1,10,10,0.5,0.04909703276914851,45.762970209121704,0.20999360084533691
0,cornell,brf,1,10,10,0.5,0.04909703276914851,45.762970209121704,0.20999360084533691
1,wisconsin,brf,1,10,10,0.49215686274509796,0.025079650125991344,45.55189824104309,0.596949577331543
0,cornell,brf,1,10,10,0.5,0.04909703276914851,45.762970209121704,0.20999360084533691
1,wisconsin,brf,1,10,10,0.49215686274509796,0.025079650125991344,45.55189824104309,0.596949577331543
2,texas,brf,1,10,10,0.49189189189189186,0.03133270647824743,39.37799954414368,0.5078842639923096
0,cornell,brf,1,10,10,0.5,0.04909703276914851,45.762970209121704,0.20999360084533691
1,wisconsin,brf,1,10,10,0.49215686274509796,0.025079650125991344,45.55189824104309,0.596949577331543
2,texas,brf,1,10,10,0.49189189189189186,0.03133270647824743,39.37799954414368,0.5078842639923096
3,chameleon,brf,1,10,10,0.6133771929824562,0.010618202748540386,162.596364736557,14.904770612716675
